ui_trigger,client_component,server_action,validation_guard,canonical_transition,table_rpc_storage,rls_grant_role,audit_event,notification_side_effect,success_result,negative_partial_result,automated_test,runtime_evidence
Type identifier query (>=3 chars),SingleVisitLens search,server search,min length; exact identifier or similar-name rule only,none,factories select,RLS factories; Planner direct-route guard,none,none,Graded list + announced count,Factory/duplicate read failure -> ERR-OPS-001 unavailable state; no selectable false-safe result,"cd-022-identity-lens.spec.ts: EXACT, SIMILAR NAME, DEGRADED",page.tsx + duplicate.ts audited 2026-07-14
Open dossier,result card,selection-time duplicate read,explicit user action only,none,visits select using shared helper,RLS visits,none,none,Dossier + duplicate warning with visit link and conflicting visit status,Duplicate read failure clears candidates and blocks selection,"cd-022-identity-lens.spec.ts: duplicate parity + lifecycle status",duplicate.ts shared by page/action; status surfaced 2026-07-15
Confirm industrial license,dossier license control,validated before RPC and again in RPC,license must match current factory record (M01-036),none,factories read + publish_single_visit,RLS + SECURITY INVOKER,table audit trigger in transaction,none,License confirmed,Mismatch/stale/read error blocks with preserved work,blocked-publish test,actions.ts + migration 20260714091727
Confirm location / planner pin,dossier location panel,validated before RPC and again in RPC,M01-038 both-coordinate/range rule + confirmation,none,visit planner_lat/lng via publish_single_visit,RLS + SECURITY INVOKER,table audit trigger in transaction,none,Location confirmed,Missing/invalid location blocks; official pin never overwritten,blocked-publish test,actions.ts + migration 20260714091727
Choose execution mode,config column,validated before RPC and again in RPC,M03-011 physical needs location; virtual needs OTP engine,none,engine_settings read + publish_single_visit,RLS + SECURITY INVOKER,none,none,Eligible mode accepted,Read failure or ineligible mode blocks,static atomic-boundary test,page.tsx/actions.ts/migration 20260714091727
Pick/auto-assign inspector,config column,publishSingleVisit + publish_single_visit,pool membership + overlap precheck; authoritative schedule-safe selection in transaction,none,user_roles/assignments + canonical assignment trigger,RLS + SECURITY INVOKER,assignment table audit trigger,assignment notification queued in transaction,Eligible manual or first available auto Inspector,Read failure/ineligible/overlap/concurrent assignment rolls back everything,static atomic-boundary test + migration 0031 trigger,actions.ts + migrations 0031/0033
Publish visit,publish button,publishSingleVisit,"factory/license/location/mode/package/Inspector/window/duplicate guards repeated in RPC",STM-PLAN-001 Draft->Validated then STM-PLAN-002 Validated->Published,publish_single_visit writes plan+visit+assignment+notification in one transaction,RLS + SECURITY INVOKER,append-only table audit triggers,assignment notification row queued,Redirect /visits/:id only after commit,Any write/guard failure -> complete rollback + neutral copy; no partial plan/visit,"cd-022-identity-lens.spec.ts: atomic source contract; live resumable-retry test now exercises the real publish_single_visit RPC end-to-end","migration 20260714091726/20260714091727 applied live 2026-07-14 (verified: planning_status enum includes 'validated'; publish_single_visit present, prosecdef=false) — runtime certified"
Retry legacy empty draft,hidden resume id,publish_single_visit,owned single-method draft with zero child visits only,same,same atomic RPC,RLS + SECURITY INVOKER,audited transitions,one queued notification,One plan + one visit + redirect,Foreign/non-empty/non-draft resume rolls back and never creates a fresh plan,"cd-022-identity-lens.spec.ts: resumable retry and unowned id",RPC owns fail-closed resume check
Discard draft,none,none,none,none,none,n/a,none,none,n/a,No user-created draft workflow exists after atomic publish; legacy cleanup policy remains governance-blocked,N/A,BLOCKED_UPSTREAM
Registry freshness,dossier,server render,no invented staleness threshold,none,factories.source_synced_at,RLS,none,none,Actual sync time or no-sync record,Source/read failure is distinct from legitimate no-sync,provenance assertions in CD-021 family,FND-013 source wired; threshold intentionally absent
Unauthorized access,page.tsx,server render,explicit Planner role read; role-read failure is service-unavailable not unauthorized,none,none,RLS deeper boundary,none,none,No identity search for non-Planner,No client bypass,"cd-022-identity-lens.spec.ts: authorization boundary",page.tsx audited 2026-07-14
