relative_path,revision,baseline,design_id,screen_id,implementation_facing,synchronization_result
CD-030 Version Comparison.dc.html,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
CD-030 Version Comparison.standalone.html,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
cd30-stage.js,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
cd30-annot.js,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
support.js,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
saqeel-tokens.css,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
saqeel-retired-predecessor.css,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
saqeel-prism.svg,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — synchronized R1 (remote design server)
IMPLEMENTATION_MANIFEST_CD-030.yaml,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
COMPONENT_MAP_CD-030.csv,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
WIRING_MAP_CD-030.csv,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
STATE_MATRIX_CD-030.csv,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,partial,PRESENT — imported local
ACCEPTANCE_CHECKLIST_CD-030.md,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
RESEARCH_PROVENANCE_CD-030.md,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,PRESENT — imported local
CLAUDE_CODE_HANDOFF_CD-030.md,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
CLAUDE_CODE_IMPLEMENTATION_PROMPT_CD-030.md,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
PACKAGE_INVENTORY_CD-030.csv,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
PACKAGE_PREFLIGHT_CD-030.md,R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,yes,PRESENT — imported local
(evidence PNGs CD-030_SCR-WEB-320_*),R1,BASELINE_REVERIFY_REQUIRED (main sources read this session; no equivalence claim),CD-030,SCR-WEB-320,no,REMOTE ONLY — on design server (binary; not pulled into local context)
apps/web/e2e/cd-030-version-comparison.spec.ts,R1 (proposed),same,CD-030,SCR-WEB-320,yes (CREATE_AFTER_APPROVAL),NOT IN PACKAGE — proposed; does not exist
