evidence_id,route_requested,route_final,persona,state,locale,direction,theme,viewport,image_width,image_height,commit,build,captured_at_utc,evidence_path,sha256,console_status,network_status,privacy_review,acceptance,notes
WP01-SHOT-001,/admin/access,/admin/access,Security Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003433Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-access__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003433Z.png,196cc731c9b347c1c30b0efe86a364089bbed024eb31ac8b7c248f242c807064,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-002,/admin/audit,/admin/audit,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003438Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-audit__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003438Z.png,6e71e2e40b335cf8f5c2ee301fb01710550d8434b9c86d1510bb917c600e14b8,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-003,/admin/devices,/admin/devices,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003440Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-devices__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003440Z.png,2d7d6569eade5056fe252bc435c68fd0f23a68e4fbbb0282f439127e6a279e18,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-004,/admin/gis/spatial,/admin/gis/spatial,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003443Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-gis-spatial__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003443Z.png,764d50c210e3ccb33ea675dc798be311b746df22bab0a91a9ce4042dc94f1789,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_HONEST_UNAVAILABLE_STATE,
WP01-SHOT-005,/admin/gis,/admin/gis,Compliance/Business/Technical Admin,populated,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003520Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-gis__populated__en-LTR__light__1440x1024__20260719T003520Z.png,f1679b80dbb87b37287e4352f8280547ad4b8d31d3054ad0df2a15d63e56ff36,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,Map canvas visually blank despite 1000/1000 factory count.
WP01-SHOT-006,/admin/integrations,/admin/integrations,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003444Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-integrations__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003444Z.png,03e0b3ce20b1c516f30405cf853e03976e4c595ba54bd15d2ef373b04d5cd550,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-007,/admin/items,/admin/items,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003445Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-items__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003445Z.png,605b72ed096f1c9cb2730a02fd60abf00744994a4fdd3dc69a8ff3cbc070e809,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-008,/admin/localization,/admin/localization,Compliance/Business/Technical Admin,populated,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003530Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-localization__populated__en-LTR__light__1440x1024__20260719T003530Z.png,2839f81bb697e42b6d6f482936a99eba0e847a098cc6744aebcc56e2965d40ed,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-009,/admin/notifications,/admin/notifications,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003450Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-notifications__populated_or_honest_empty__en-LTR__light__1440x1024__20260719T003450Z.png,f22ab6a94230212ad74a0eca1ade4d66a3e312c413740aa36f116572cf833363,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
WP01-SHOT-010,/admin/operations,/admin/operations,Compliance/Business/Technical Admin,populated_or_honest_empty,en,LTR,light,x1024,,,8144849df713baabd737a8ece0dcd9348dae9dd9,npm run build PASS; npm run typecheck PASS,20260719T003458Z,design/claude-design-mvp1/operationalization/wp01-design-system-input/20260719T003221Z/screenshots/WP01__admin-operations__populated_or_honest_empty__en-LTR__light__1425x1024__20260719T003458Z.png,de97e2713f7975690ffc98df572fd9b41e1058f60e38296623bf951104fcd456,NO_BLOCKING_ERROR_OBSERVED_DURING_CAPTURE,NOT_INSTRUMENTED_SEPARATELY,NO_REAL_PII_OBSERVED,ACCEPTED_AS_IS_BASELINE,
