ui_trigger,client_component,server_action,validation_guard,canonical_transition,table_rpc_storage,rls_grant_role,audit_event,notification_side_effect,success_result,negative_partial_result,automated_test,runtime_evidence
Open workspace,review page,server render + loadBulkSelection(ids from sessionStorage),uuid-shape filter + 500 cap + Planner direct-route guard (UPDATE R1-8),none,factories+visits embed / package_versions / user_roles selects,RLS; planner,none,none,Populated workspace with counts,Empty selection -> return to targeting (existing); READ FAILURE -> fail-closed service card + retry with readiness blocked (HANDOFF_BLOCKED R1-2: current reads ignore errors and can render as safe emptiness),existing cd-021 spec + proposed,actions.ts loadBulkSelection read 2026-07-14
Selection-time overlap evidence,candidate table + ledger,loadBulkSelection EXTENDED (UPDATE),window supplied; same query as submit,none,assignments x visits overlap select,RLS,none,none,Evidence cells + ledger Verified/Blocks populated,No window yet -> evidence deferred with notice,proposed parity test,HANDOFF-note: extension is new; submit-time query exists verbatim in publishBulkPlan (read 2026-07-14)
Focus candidate row,table (row focusin / explicit Review-evidence - plain-table model),client-only,none,none,none,n/a,none,none,Ledger reflects focused row read-only,Reduced motion: instant swap,proposed,DESIGN-NEW presentation
Choose method/inspector,row select,client state -> validated at submit,pool membership + overlap at submit (M01-029),none,none,n/a,none,none,Pick recorded; shared-pick warning (existing),Blocked pick shown from selection-time evidence,existing 15/15 spec + proposed,ReviewClient picks state (read)
Scope decision (remove/keep/restore),scope panel,client state -> factory_id set at submit,same skip semantics as existing skip_duplicates,none,none,n/a,readiness records 'scope reduced by you' (client),none,Totals recalculate; removals named + restorable,Keep -> publish stays blocked with M02-012 blocker,proposed,actions.ts skipDuplicates filter (read) - semantics preserved
Publish plan,readiness action,publishBulkPlan,"blockers: empty set, ERR-PUB-001 package, FLD-PLAN-005 window, M02-012 dups, M01-029 pool+overlap - all validation runs BEFORE the RPC and can go stale before the assignment insert (concurrency-safe enforcement HANDOFF_BLOCKED R1-1); package/visit-type authoritative recheck HANDOFF_BLOCKED",plan+visits draft->published inside RPC (writes only - RPC re-validates nothing),publish_bulk_plan RPC (migration 0026; SECURITY INVOKER),RLS enforced in-function; planner,per-transition audit rows (existing),notifications insert queued (in-txn),Redirect /visits; plan visible in read-only drill-down,Neutral catalogued copy; nothing published (atomic rollback); input preserved,existing 15/15 + proposed forced-failure,actions.ts + migration 0026 read 2026-07-14
Auto allocation,in RPC,publish_bulk_plan round-robin,pool non-empty only — overlap NOT checked,same,assignments insert,same,same,same,Deterministic allocation,OVERLAP POSSIBLE — gap surfaced in UI; fix HANDOFF_BLOCKED (backend),proposed once fixed,migration 0026 lines: cursor allocation ignores schedules (read - defect confirmed)
Stale/concurrent change at submit,error summary,publishBulkPlan re-validation,pool/overlap/dups re-run pre-RPC; a change landing between re-check and insert is NOT caught,none,same selects,RLS,not audited (attempted-conflict audit HANDOFF_BLOCKED),none,Named blockers + focus transfer,Input preserved (controlled state),proposed,actions.ts blocker construction (read); no version token; check-to-insert window confirmed
Unauthorized access,page,server render,shell role visibility + RLS,none,none,RLS denies,none,none,No-data family screen,No client bypass,existing shell tests,shell-navigation (read)
Route mounting,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,HANDOFF_BLOCKED — SCR-WEB-120/140 collision + /planning/:id/configure target await governance
