screen_id,route,persona,state,locale_direction,theme,viewport,capture_timestamp_utc,status,evidence_path,sha256,data_theme_observed,blocker,next_safe_action
SCR-ADM-001,/admin,admin,populated,en-ltr,light,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__en-ltr__light__1440x1024__20260718T202215Z.png",e393a1d80023f6b420ecba3a8cd65b51925ac7bb5c2981d736f98cc9aa519978,light,,
SCR-ADM-001,/admin,admin,populated,en-ltr,dark,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__en-ltr__dark__1440x1024__20260718T202215Z.png",f309a69bda4bfadf0979ff323369e9af6f0eaed7dbac148fbeb1136c75134bf2,dark,,
SCR-ADM-001,/admin,admin,populated,ar-rtl,light,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__ar-rtl__light__1440x1024__20260718T202215Z.png",ffa0afefce9f77755b9c709e66a1463a196ea83acdb5a0e1138d7b1cc337ea6d,light,,
SCR-ADM-001,/admin,admin,populated,ar-rtl,dark,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__ar-rtl__dark__1440x1024__20260718T202215Z.png",47a1d535f97b633cdcf6e152c0c79e05d3e46d75bfca6e48e7da6aba544a3ca4,dark,,
SCR-ADM-001,/admin,admin,populated,en-ltr,light,1024x768,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__en-ltr__light__1024x768__20260718T202215Z.png",762c433893876ede9535f8d76ed2faa28a1d70c88c1f79332f7ec0b0290ae1fb,light,,
SCR-ADM-001,/admin,admin,populated,ar-rtl,dark,1024x768,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__ar-rtl__dark__1024x768__20260718T202215Z.png",9321baadd9cc445019148c2961d5ff0e086fa6aec3ec9352daaf75bdca529533,dark,,
SCR-ADM-001,/admin,admin,populated,en-ltr,dark,1920x1080,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__en-ltr__dark__1920x1080__20260718T202215Z.png",5afb15635760a1ee6b6604df33802b48834513835cd81048e1e29a07b4bc5ac9,dark,,
SCR-ADM-001,/admin,admin,populated,ar-rtl,light,1920x1080,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-ADM-001__populated__ar-rtl__light__1920x1080__20260718T202215Z.png",3e4263d5264be7b2d368c55311ed8cbd0da4ac8bc7499b60e443ff02197c4d64,light,,
SCR-WEB-130,/planning/immediate,planner,populated,en-ltr,light,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__en-ltr__light__1440x1024__20260718T202215Z.png",5eac17a428ddfebdf2bb9777a74a508f4ddacdc61529652bd7892f998526da3e,light,,
SCR-WEB-130,/planning/immediate,planner,populated,en-ltr,dark,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__en-ltr__dark__1440x1024__20260718T202215Z.png",6b905108a3a090a3e768726a25cca6e0140bbade149ddde6529bf75e0ecbeaea,dark,,
SCR-WEB-130,/planning/immediate,planner,populated,ar-rtl,light,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__ar-rtl__light__1440x1024__20260718T202215Z.png",7d7742a6f3ce5e3871c2b101b767166d13e966a83335c3c360e19037d0588e9c,light,,
SCR-WEB-130,/planning/immediate,planner,populated,ar-rtl,dark,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__ar-rtl__dark__1440x1024__20260718T202215Z.png",ab76ddc75ace9ecf178736ebf6a97609c4bcc8c28849fc31e601cfae1f243cd7,dark,,
SCR-WEB-130,/planning/immediate,planner,populated,en-ltr,light,1024x768,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__en-ltr__light__1024x768__20260718T202215Z.png",11b7088dbe14d892f5bc11999252f569b68c07c21a5854c8cf2a7df6fe858a5d,light,,
SCR-WEB-130,/planning/immediate,planner,populated,ar-rtl,dark,1024x768,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__ar-rtl__dark__1024x768__20260718T202215Z.png",3737696332045f03d0cfef6ea44afca69eca8693527f546420b81f199c8c6744,dark,,
SCR-WEB-130,/planning/immediate,planner,populated,en-ltr,dark,1920x1080,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__en-ltr__dark__1920x1080__20260718T202215Z.png",469aa4224c0dfda5e24d4c29851f1dd211682d6f7e4336336da4221710792422,dark,,
SCR-WEB-130,/planning/immediate,planner,populated,ar-rtl,light,1920x1080,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-130__populated__ar-rtl__light__1920x1080__20260718T202215Z.png",fa95422f1b376e5866eabddd6d0734af772e2a6acf02769d96bf698d411c7aa9,light,,
SCR-WEB-210,/visits/6b78d98c-6766-484b-af42-b2811d8d2bd4,planner,populated,en-ltr,light,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-210__populated__en-ltr__light__1440x1024__20260718T202215Z.png",f27b9bd8acc3f0194794e4b31924b67699e31e3d0aa47bd87136b2f735e5000e,light,,
SCR-WEB-210,/visits/6b78d98c-6766-484b-af42-b2811d8d2bd4,planner,populated,en-ltr,dark,1440x1024,2026-07-18T20:22:15Z,CAPTURED,"/Users/vikramindla/Desktop/Inspection Documentation/07_TEST_EVIDENCE_AND_SCREENSHOTS/phase2-tier1/20260718T201925Z/P2-ASIS__SCR-WEB-210__populated__en-ltr__dark__1440x1024__20260718T202215Z.png",1f2b07188e21f855acc2f2b18141da208026052bacf1ab6a01a5a624ec335700,dark,,
