Relative Path,Size Bytes,SHA256,Status
00_START_HERE/CURRENT_STATUS_AND_KNOWN_GAPS.md,1824,789a6f6ae402e770d2ca76f8a7d3f9724214d713d6b5b383430e65c80685805e,Latest/Current
00_START_HERE/README_START_HERE.md,1740,398d4dd30615afdabca059d162c7f5d31d8a48ac59f576842010c095ad1e4109,Latest/Current
01_SOURCE_BASELINE/Inspection_Platform_Strategic_Baseline_61_Sheets.xlsx,711375,8fa3b81b9e48cf18dc0d74d6d02cf8bc6a0ae6652a03f608ef837274bf265c2a,Source baseline/reference
01_SOURCE_BASELINE/Inspection_Project_Customer_Auditor_Baseline.xlsx,99120,0218c034bdae8772f0b0961de9f349f0936ca69f1a523e0c251bb352ed404bc8,Source baseline/reference
01_SOURCE_BASELINE/KSA_Inspection_Storyboard_Reference_20_Pages.pdf,46440440,d7b550583ed920be9d742c83432f85e69edfaa7b78ba87304b6c095a18f67a6e,Source baseline/reference
01_SOURCE_BASELINE/MIM_Inspection_Strategic_BRD_Source.pdf,11708510,f765000c12341423a354a2e5c7bc18ae164bbad58e8436dd1b0b1bbc9d683118,Source baseline/reference
02_MASTER_BRD/MIM_Inspection_MVP1_BRD_Enhanced_Final.pdf,863426,c322ee7c53dcd1c75d5c169219a6fadf3d807d8d331af97851afa092bea9dc2f,Latest/Current
03_BREAKDOWN_ACCEPTANCE/MIM_Inspection_MVP1_Breakdown_and_Acceptance_Contract.xlsx,233263,2024976e80901f0e535ba8b3d04980813ffe742c1810cbd338dbc922c81183c4,Latest/Current
04_FUNCTIONAL_SPECIFICATIONS/MIM_Inspection_MVP1_Admin_Portal_Functional_Specification.pdf,30771,e4e0631c51a21f8715688d1e5865a34c51f2a248f1f3b333501f188088751a4f,Latest/Current
04_FUNCTIONAL_SPECIFICATIONS/MIM_Inspection_MVP1_Web_Portal_Functional_Specification.pdf,73154,7b367c7a30c38edae30a33c2aa825c2b9fa48de8658a4b417a49638ec71cf495,Latest/Current
04_FUNCTIONAL_SPECIFICATIONS/MIM_Inspection_MVP1_iPad_Functional_Specification.pdf,86693,a1a6ad26d3365e5c26e0ab8af89e1c6dafc4f236599c7f626598f8a7c874e51a,Latest/Current
05_IMPLEMENTATION_STORYBOARDS/Individual_PNGs_20/MIM_MVP1_Storyboard_01.png,388400,9a98baae6fc8ed416483914a4c9bbb35bd8b96ada2c8696cc5e95934ac4774a7,Latest/Current
05_IMPLEMENTATION_STORYBOARDS/Individual_PNGs_20/MIM_MVP1_Storyboard_02.png,380854,d5ce51fe3884ffe5cc67083d55a882937d8b41cb9db7d9101c48aa8ae838a3fb,Latest/Current
