INSP-17	REPO_EVIDENCE_ONLY	Supervisor — Verify dashboard role and read-failure boundaries
INSP-18	SUPERSEDED	Supervisor — Superseded — Monitor scoped operations
INSP-19	SUPERSEDED	Supervisor — Superseded — View scoped strategic and operational dashboard
INSP-20	SUPERSEDED	Supervisor — Superseded — Operational exception scenarios require an approved source
INSP-21	REPO_EVIDENCE_ONLY	Browse factory portfolio
INSP-22	REPO_EVIDENCE_ONLY	Open scoped factory dossier and provenance
INSP-23	SUPERSEDED	Planner — Superseded — Browse visits and resume planning drafts
INSP-24	SUPERSEDED	Planner — Superseded — Create and approve inspection plans by capability
INSP-25	REPO_EVIDENCE_ONLY	Inspector — Read assigned execution workspace
INSP-26	REPO_EVIDENCE_ONLY	Inspector — Refuse non-execution personas
INSP-27	REPO_EVIDENCE_ONLY	Supervisor — Browse scoped review queue and detail
INSP-28	REPO_EVIDENCE_ONLY	Supervisor — Record guarded review decision and version comparison
INSP-29	REPO_EVIDENCE_ONLY	Admin — Browse regulation library and detail mode
INSP-30	REPO_EVIDENCE_ONLY	Admin — Author, review, and publish immutable regulation versions
INSP-31	REPO_EVIDENCE_ONLY	Admin — Filter eligible approval workload
INSP-32	REPO_EVIDENCE_ONLY	Admin — Review and publish through maker-checker
INSP-33	REPO_EVIDENCE_ONLY	Admin — Read violation and penalty catalogue
INSP-34	REPO_EVIDENCE_ONLY	Admin — Validate enforcement configuration readiness
INSP-35	REPO_EVIDENCE_ONLY	Admin — Perform audited guarded assignment changes
INSP-36	REPO_EVIDENCE_ONLY	Supervisor — Filter and drill into governed analytics
INSP-37	REPO_EVIDENCE_ONLY	Supervisor — Represent unavailable or decision-required analytics
INSP-38	REPO_EVIDENCE_ONLY	Admin — Inspect role and capability matrix
INSP-39	REPO_EVIDENCE_ONLY	Admin — Save authorized risk configuration without invented values
INSP-40	REPO_EVIDENCE_ONLY	Admin — Inspect inspection package versions, preview, and impact
INSP-41	REPO_EVIDENCE_ONLY	Admin — Browse and search localization register
INSP-42	REPO_EVIDENCE_ONLY	Admin — Read versioned risk model and trace
INSP-43	REPO_EVIDENCE_ONLY	Admin — Create, revise, and publish governed strings
INSP-44	REPO_EVIDENCE_ONLY	Admin — Draft and publish inspection package by capability
INSP-45	REPO_EVIDENCE_ONLY	Admin — Read notification rule register
INSP-46	REPO_EVIDENCE_ONLY	Admin — Read endpoint, event, and export registers
INSP-47	REPO_EVIDENCE_ONLY	Admin — Create, publish, and deactivate notification rules
INSP-48	REPO_EVIDENCE_ONLY	Admin — Open linked factory-data management tools
INSP-178	DRIVE_CITED	Planner — 01 — Open Planning with the right access
